Year,Collocate,MI Score,Context,File,Directory
1833,that,3.52,proved by the fact that the other,rstl_1833_0032.txt,txt_rstl
1833,this,3.01,remarkable that this fact should not have,rstl_1833_0032.txt,txt_rstl
1833,that,3.52,"it may, the fact that an appearance,",rstl_1833_0021.txt,txt_rstl
1833,this,3.01,thronged: and this fact appears with remarkable,rstl_1833_0013.txt,txt_rstl
1833,that,3.52,that © in fact the resemblance is,rstl_1833_0006.txt,txt_rstl
1833,this,3.01,changed pole. This fact may be obseryed,rstl_1833_0006.txt,txt_rstl
1833,this,3.01,led us. The fact on which this,rstl_1833_0007.txt,txt_rstl
1833,this,3.01,this statement of fact he is opposed,rstl_1833_0030.txt,txt_rstl
1833,this,3.01,"Davy explains this fact by saying, ©",rstl_1833_0016.txt,txt_rstl
1833,this,3.01,nervo-muscular fibre. This fact will snggest the,rstl_1833_0028.txt,txt_rstl
1833,that,3.52,"from the foregoing fact is unavoidable, that",rstl_1833_0007.txt,txt_rstl
1834,that,3.63,"apparent, from the fact that in the",rstl_1834_0021.txt,txt_rstl
1834,interesting,6.09,"of an interesting fact before alluded to,",rstl_1834_0021.txt,txt_rstl
1834,that,3.63,"the trials, the fact that the torpedinal",rstl_1834_0026.txt,txt_rstl
1834,that,3.63,find that in fact its amount is,rstl_1834_0004.txt,txt_rstl
1834,interesting,6.09,remarkable and interesting fact that in the,rstl_1834_0019.txt,txt_rstl
1834,that,3.63,remarkable and interesting fact that in the,rstl_1834_0019.txt,txt_rstl
1834,this,3.1,the like. This fact seems to have,rstl_1834_0016.txt,txt_rstl
1834,this,3.1,decomposition. Upon this fact is founded much,rstl_1834_0008.txt,txt_rstl
1834,that,3.63,adduced establishes the fact that the mammary,rstl_1834_0019.txt,txt_rstl
1835,this,3.21,; and this fact is of some,rstl_1835_0012.txt,txt_rstl
1835,this,3.21,and 1831. This fact will relieve HumBorpr,rstl_1835_0012.txt,txt_rstl
1835,important,5.33,air. This important fact is now well,rstl_1835_0020.txt,txt_rstl
1835,that,3.73,cheliferous ; the fact that the Zoea,rstl_1835_0019.txt,txt_rstl
1835,that,3.73,"inquiries, from the fact that five large",rstl_1835_0019.txt,txt_rstl
1835,that,3.73,that a similar fact has been ob-,rstl_1835_0018.txt,txt_rstl
1835,that,3.73,"increased. 1073. The fact is, that under",rstl_1835_0005.txt,txt_rstl
1835,that,3.73,upon the known fact that electric currents,rstl_1835_0005.txt,txt_rstl
1835,that,3.73,"yolcanos, that the fact appeared to require",rstl_1835_0002.txt,txt_rstl
1835,that,3.73,dry; but the fact is that it,rstl_1835_0002.txt,txt_rstl
1835,this,3.21,air. This important fact is now well,rstl_1835_0020.txt,txt_rstl
1835,this,3.21,ting away. This fact is unquestionable ;,rstl_1835_0002.txt,txt_rstl
1836,that,3.78,"tions, The remarkable fact that the transverse",rstl_1836_0026.txt,txt_rstl
1836,that,3.78,supported by the fact that they are,rstl_1836_0026.txt,txt_rstl
1836,that,3.78,another. The curious fact that we do,rstl_1836_0022.txt,txt_rstl
1836,that,3.78,judging from the fact that the sensory,rstl_1836_0027.txt,txt_rstl
1836,important,5.39,The very important fact established by Dr.,rstl_1836_0026.txt,txt_rstl
1836,that,3.78,points out the fact that the restiform,rstl_1836_0027.txt,txt_rstl
1836,that,3.78,evident from the fact that a compound,rstl_1836_0022.txt,txt_rstl
1836,important,5.39,is one important fact to be observed,rstl_1836_0022.txt,txt_rstl
1836,this,3.33,In relating this fact it has been,rstl_1836_0027.txt,txt_rstl
1836,this,3.33,the salmon. This fact was obseryed by,rstl_1836_0008.txt,txt_rstl
1836,this,3.33,"the body. This fact once clearly established,",rstl_1836_0027.txt,txt_rstl
1836,that,3.78,is a 8ingular fact that we are,rstl_1836_0028.txt,txt_rstl
1836,that,3.78,together with the fact that in the,rstl_1836_0011.txt,txt_rstl
1836,that,3.78,is a curious fact that all the,rstl_1836_0028.txt,txt_rstl
1836,that,3.78,obseryed the curious fact that the intensity,rstl_1836_0022.txt,txt_rstl
1836,that,3.78,inferred from the fact that light is,rstl_1836_0009.txt,txt_rstl
1837,that,3.74,"80 steady. The fact is, that at",rstl_1837_0009.txt,txt_rstl
1837,that,3.74,consistent with the fact that this epoch,rstl_1837_0009.txt,txt_rstl
1837,that,3.74,appeared that in fact the diurnal in-,rstl_1837_0009.txt,txt_rstl
1837,that,3.74,knowledge of the fact that both the,rstl_1837_0019.txt,txt_rstl
1837,that,3.74,is a singular fact that his successors,rstl_1837_0017.txt,txt_rstl
1837,that,3.74,for by the fact that the old,rstl_1837_0026.txt,txt_rstl
1837,that,3.74,which illustrates the fact that bodies of,rstl_1837_0008.txt,txt_rstl
1837,that,3.74,not invalidate the fact that the great,rstl_1837_0010.txt,txt_rstl
1837,that,3.74,80 that in fact all the intervals,rstl_1837_0011.txt,txt_rstl
1837,that,3.74,discover it. The fact is that there,rstl_1837_0026.txt,txt_rstl
1837,that,3.74,proved by the fact that when the,rstl_1837_0019.txt,txt_rstl
1837,that,3.74,is a curious fact that these bees,rstl_1837_0019.txt,txt_rstl
1837,that,3.74,also indicates the fact that the whole,rstl_1837_0019.txt,txt_rstl
1837,this,3.28,find how the fact stands in this,rstl_1837_0021.txt,txt_rstl
1837,this,3.28,even this common fact has not the,rstl_1837_0017.txt,txt_rstl
1837,this,3.28,consistent with the fact that this epoch,rstl_1837_0009.txt,txt_rstl
1837,this,3.28,proofs of this fact in my observations,rstl_1837_0019.txt,txt_rstl
1837,this,3.28,tion of this fact during the winter,rstl_1837_0019.txt,txt_rstl
1837,that,3.74,to anticipate the fact that the volant,rstl_1837_0019.txt,txt_rstl
1838,that,3.68,discovered the general fact that electrolytes refused,rstl_1838_0002.txt,txt_rstl
1838,important,5.33,a very important fact in the theory,rstl_1838_0002.txt,txt_rstl
1838,that,3.68,dantly established the fact that there is,rstl_1838_0021.txt,txt_rstl
1838,that,3.68,on which that fact has been now,rstl_1838_0019.txt,txt_rstl
1838,that,3.68,"to it; the fact being, that all",rstl_1838_0016.txt,txt_rstl
1838,that,3.68,So that in fact the gold leaves,rstl_1838_0007.txt,txt_rstl
1838,that,3.68,; that in fact the electric at,rstl_1838_0002.txt,txt_rstl
1838,this,3.36,"direction ; this fact had, though he",rstl_1838_0019.txt,txt_rstl
1838,this,3.36,have in this fact a very remarkable,rstl_1838_0011.txt,txt_rstl
1838,this,3.36,This is another fact in fayour of,rstl_1838_0002.txt,txt_rstl
1838,this,3.36,becomes greater. This fact may be easily,rstl_1838_0019.txt,txt_rstl
1838,this,3.36,been removed. This fact was observed by,rstl_1838_0016.txt,txt_rstl
1839,that,3.76,last stages; the fact being that its,rstl_1839_0021.txt,txt_rstl
1839,remarkable,5.13,especially the remarkable fact of the exact,rstl_1839_0005.txt,txt_rstl
1839,that,3.76,; and the fact that most of,rstl_1839_0020.txt,txt_rstl
1839,that,3.76,It is this fact that I announced,rstl_1839_0018.txt,txt_rstl
1839,that,3.76,into consideration the fact that the force,rstl_1839_0015.txt,txt_rstl
1839,that,3.76,such prepossession that fact after fact has,rstl_1839_0021.txt,txt_rstl
1839,that,3.76,that fact after fact has gradually but,rstl_1839_0021.txt,txt_rstl
1839,that,3.76,knowledge of the fact that the germinal,rstl_1839_0021.txt,txt_rstl
1839,that,3.76,to inquire. The fact that in the,rstl_1839_0021.txt,txt_rstl
1839,this,3.38,in which this fact is equally apparent.,rstl_1839_0020.txt,txt_rstl
1839,that,3.76,299.) ? 'The fact that the germinal,rstl_1839_0021.txt,txt_rstl
1839,that,3.76,"marvellons though the fact be, that the",rstl_1839_0005.txt,txt_rstl
1839,this,3.38,it. From this fact an argument has,rstl_1839_0005.txt,txt_rstl
1839,this,3.38,gully. From this fact it is evident,rstl_1839_0005.txt,txt_rstl
1839,this,3.38,viewed. Of this fact the shelves on,rstl_1839_0005.txt,txt_rstl
1839,this,3.38,"Roy. This latter fact is, at least,",rstl_1839_0005.txt,txt_rstl
1839,that,3.76,to explain this fact by supposing that,rstl_1839_0005.txt,txt_rstl
1839,this,3.38,nitric acid. This fact would seem to,rstl_1839_0009.txt,txt_rstl
1839,this,3.38,It is this fact that I announced,rstl_1839_0018.txt,txt_rstl
1839,that,3.76,5th. The extraordinary fact that a large,rstl_1839_0005.txt,txt_rstl
1839,this,3.38,to explain this fact by supposing that,rstl_1839_0005.txt,txt_rstl
1840,remarkable,5.14,"The next remarkable fact is, that in",rstl_1840_0022.txt,txt_rstl
1840,that,3.71,s0 that in fact the * Magnetic,rstl_1840_0005.txt,txt_rstl
1840,that,3.71,follows from the fact that the cell-nuclei,rstl_1840_0025.txt,txt_rstl
1840,that,3.71,"connexion with the fact now recorded, that",rstl_1840_0025.txt,txt_rstl
1840,that,3.71,"regularly increased, that fact snggested another mode",rstl_1840_0023.txt,txt_rstl
1840,that,3.71,a well known fact that the voltaic,rstl_1840_0012.txt,txt_rstl
1840,that,3.71,all marked. This fact proves that marked,rstl_1840_0022.txt,txt_rstl
1840,that,3.71,"The next remarkable fact is, that in",rstl_1840_0022.txt,txt_rstl
1840,that,3.71,"possible, from the fact that in the",rstl_1840_0024.txt,txt_rstl
1840,that,3.71,knowledge of the fact that the germinal,rstl_1840_0024.txt,txt_rstl
1840,that,3.71,I established the fact that there was,rstl_1840_0014.txt,txt_rstl
1840,that,3.71,confirmed by the fact that such an,rstl_1840_0025.txt,txt_rstl
1840,remarkable,5.14,with the remarkable fact which we shall,rstl_1840_0008.txt,txt_rstl
1840,that,3.71,depends on the fact that its contents,rstl_1840_0022.txt,txt_rstl
1840,this,3.32,all marked. This fact proves that marked,rstl_1840_0022.txt,txt_rstl
1840,that,3.71,act chemically. In fact all conductors that,rstl_1840_0003.txt,txt_rstl
1840,that,3.71,also by the fact that he found,rstl_1840_0016.txt,txt_rstl
1840,this,3.32,the iodine. This fact will render obvious,rstl_1840_0017.txt,txt_rstl
1840,this,3.32,nature of this fact will account for,rstl_1840_0017.txt,txt_rstl
1840,this,3.32,let not this fact militate against our,rstl_1840_0014.txt,txt_rstl
1840,that,3.71,it is a fact that the negative,rstl_1840_0002.txt,txt_rstl
1840,this,3.32,"even granting this fact to be substantiated,",rstl_1840_0022.txt,txt_rstl
1840,this,3.32,This is a fact which may hereafter,rstl_1840_0022.txt,txt_rstl
1840,this,3.32,the Frog. This fact may serve to,rstl_1840_0022.txt,txt_rstl
1840,this,3.32,finding this in fact to be quite,rstl_1840_0002.txt,txt_rstl
1840,that,3.71,promoted by the fact that in making,rstl_1840_0016.txt,txt_rstl
1840,this,3.32,knowledge of this fact pre- pared me,rstl_1840_0021.txt,txt_rstl
1841,that,3.79,"markable, from the fact that this outlet",rstl_1841_0012.txt,txt_rstl
1841,remarkable,5.13,from the remarkable fact that it takes,rstl_1841_0012.txt,txt_rstl
1841,that,3.79,rested upon the fact that shade prevents,rstl_1841_0005.txt,txt_rstl
1841,that,3.79,"for Pz. The fact 1s, that constants",rstl_1841_0011.txt,txt_rstl
1841,that,3.79,from the remarkable fact that it takes,rstl_1841_0012.txt,txt_rstl
1841,that,3.79,but from the fact that the oviduct,rstl_1841_0012.txt,txt_rstl
1841,that,3.79,animal. This latter fact shows that it,rstl_1841_0012.txt,txt_rstl
1841,that,3.79,"being established. The fact is, that at",rstl_1841_0019.txt,txt_rstl
1841,that,3.79,shown in the fact that the new,rstl_1841_0012.txt,txt_rstl
1841,this,3.36,ledge of this fact forms a necessary,rstl_1841_0015.txt,txt_rstl
1841,this,3.36,chief characteristics. This fact was first noticed,rstl_1841_0012.txt,txt_rstl
1841,this,3.36,and shell. This fact deserves particular consideration.,rstl_1841_0012.txt,txt_rstl
1841,this,3.36,perfect fibre. This fact will safficiently account,rstl_1841_0012.txt,txt_rstl
1841,this,3.36,animal. This latter fact shows that it,rstl_1841_0012.txt,txt_rstl
1841,this,3.36,"markable, from the fact that this outlet",rstl_1841_0012.txt,txt_rstl
1841,this,3.36,to connect this fact with the existence,rstl_1841_0019.txt,txt_rstl
1841,that,3.79,"case, from the fact that each of",rstl_1841_0012.txt,txt_rstl
1842,that,3.73,"unexpected, was the fact that an equal",rstl_1842_0015.txt,txt_rstl
1842,that,3.73,and from the fact that it in,rstl_1842_0016.txt,txt_rstl
1842,that,3.73,but to the fact that the quantity,rstl_1842_0016.txt,txt_rstl
1842,that,3.73,one. That in fact the absorption almost,rstl_1842_0015.txt,txt_rstl
1842,that,3.73,we know in fact that they would,rstl_1842_0009.txt,txt_rstl
1842,this,3.14,should notice this fact as illustrative of,rstl_1842_0016.txt,txt_rstl
1842,this,3.14,he communicated this fact to me in,rstl_1842_0005.txt,txt_rstl
1842,that,3.73,"buffy coat. 'The fact is, that the",rstl_1842_0008.txt,txt_rstl
1843,that,3.58,differs in the fact that the optic,rstl_1843_0013.txt,txt_rstl
1843,that,3.58,"opinion. But. the fact that the ellipticity,",rstl_1843_0006.txt,txt_rstl
1843,that,3.58,still more striking fact that alkalized water,rstl_1843_0004.txt,txt_rstl
1843,that,3.58,"the most striking fact was, that when",rstl_1843_0013.txt,txt_rstl
1843,that,3.58,"combination, is a fact 80 novel, that",rstl_1843_0009.txt,txt_rstl
1843,that,3.58,apparatus. But the fact that the ciliated,rstl_1843_0012.txt,txt_rstl
1843,this,3.37,affected. This latter fact is indicated by,rstl_1843_0013.txt,txt_rstl
1843,that,3.58,understood in the fact that successive series,rstl_1843_0013.txt,txt_rstl
1843,this,3.37,also from the fact of this latter,rstl_1843_0009.txt,txt_rstl
1843,that,3.58,un- derstand a fact that seems at,rstl_1843_0013.txt,txt_rstl
1843,this,3.37,legs (4). This fact is interesting from,rstl_1843_0013.txt,txt_rstl
1843,this,3.37,the Polydesmide. This fact is especially interesting,rstl_1843_0013.txt,txt_rstl
1843,that,3.58,explained by the fact that the blood,rstl_1843_0013.txt,txt_rstl
1843,this,3.37,very little. This fact will be important,rstl_1843_0004.txt,txt_rstl
1843,this,3.37,steady decomposition. This fact has been carefully,rstl_1843_0003.txt,txt_rstl
1843,this,3.37,in insects. This fact is interesting in,rstl_1843_0013.txt,txt_rstl
1844,this,3.2,its apex. This fact sufficiently proved to,rstl_1844_0009.txt,txt_rstl
1844,that,3.53,and the well-known fact that rocks of,rstl_1844_0004.txt,txt_rstl
1844,this,3.2,are armed. This fact is of consequence,rstl_1844_0009.txt,txt_rstl
1844,that,3.53,takes place. The fact that it commences,rstl_1844_0009.txt,txt_rstl
1844,this,3.2,was not. This fact appears at first,rstl_1844_0009.txt,txt_rstl
1844,this,3.2,alkalies render this fact of some importance.,rstl_1844_0002.txt,txt_rstl
1844,this,3.2,view this Jast fact appears to prove,rstl_1844_0002.txt,txt_rstl
1844,this,3.2,"or other, this fact has been acknowledged",rstl_1844_0003.txt,txt_rstl
1845,that,3.47,"plutonic rocks, a fact that speaks intelligibly",rstl_1845_0002.txt,txt_rstl
1845,this,3.07,to extend this fact to its operation,rstl_1845_0012.txt,txt_rstl
1845,that,3.47,the muscle.” This fact comprehends that of,rstl_1845_0012.txt,txt_rstl
1845,that,3.47,to explain the fact that the in-,rstl_1845_0013.txt,txt_rstl
1845,that,3.47,acting alone. This fact evidently proves that,rstl_1845_0011.txt,txt_rstl
1845,that,3.47,80; and in fact we know that,rstl_1845_0006.txt,txt_rstl
1845,this,3.07,the muscle.” This fact comprehends that of,rstl_1845_0012.txt,txt_rstl
1845,this,3.07,proper current. This fact attracted my attention,rstl_1845_0013.txt,txt_rstl
1845,this,3.07,"contractions, certainly this fact alone is insufficient",rstl_1845_0013.txt,txt_rstl
